City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Along,IN,2020-11-03 00:27:36,28.17,94.77,64.99,88,73,1.88
62,Kaliua,TZ,2020-11-03 00:27:37,-5.06,31.79,74.64,41,98,4.65
63,Upernavik,GL,2020-11-03 00:24:34,72.79,-56.15,15.94,92,96,7.7
64,Anadyr,RU,2020-11-03 00:27:37,64.75,177.48,17.6,92,75,4.47
65,Arraial Do Cabo,BR,2020-11-03 00:24:19,-22.97,-42.03,68.67,63,5,7.54
66,Naliya,IN,2020-11-03 00:27:37,23.27,68.83,75.52,50,0,10.65
67,Esperance,AU,2020-11-03 00:24:57,-33.87,121.9,59.0,100,75,10.29
68,Prince Rupert,CA,2020-11-03 00:24:30,54.32,-130.32,53.6,81,90,19.46
69,Hermanus,ZA,2020-11-03 00:24:13,-34.42,19.23,64.0,86,6,8.01
70,Hobart,AU,2020-11-03 00:27:08,-42.88,147.33,79.0,40,0,12.75
71,Sakakah,SA,2020-11-03 00:27:38,29.97,40.21,68.0,72,75,11.41
72,Cururupu,BR,2020-11-03 00:25:32,-1.83,-44.87,76.57,88,8,3.44
73,Nanortalik,GL,2020-11-03 00:19:47,60.14,-45.24,32.4,84,87,6.82
74,Chhindwara,IN,2020-11-03 00:27:38,22.07,78.93,63.46,42,28,6.6
75,Sjovegan,NO,2020-11-03 00:26:01,68.87,17.85,39.2,86,100,24.16
76,Bathsheba,BB,2020-11-03 00:27:38,13.22,-59.52,82.4,74,40,20.8
77,Leningradskiy,RU,2020-11-03 00:26:34,69.38,178.42,18.23,96,100,12.12
78,Sulangan,PH,2020-11-03 00:27:39,11.14,123.72,82.65,75,98,9.69
79,Veraval,IN,2020-11-03 00:27:39,20.9,70.37,78.69,41,0,13.76
80,Port Blair,IN,2020-11-03 00:24:05,11.67,92.75,80.11,79,95,5.26
81,Cabo San Lucas,MX,2020-11-03 00:27:29,22.89,-109.91,82.99,65,20,4.7
82,Iquitos,PE,2020-11-03 00:24:23,-3.75,-73.25,78.8,88,0,1.7
83,Stokmarknes,NO,2020-11-03 00:27:39,68.56,14.91,48.0,86,100,8.01
84,Bambanglipuro,ID,2020-11-03 00:27:39,-7.95,110.28,79.77,76,12,3.18
85,Vaini,TO,2020-11-03 00:24:06,-21.2,-175.2,78.8,83,75,14.99
86,Saskylakh,RU,2020-11-03 00:27:40,71.92,114.08,8.31,94,99,7.67
87,Fort Myers Beach,US,2020-11-03 00:27:40,26.45,-81.95,70.0,60,1,12.75
88,Kankaanpaa,FI,2020-11-03 00:27:40,61.8,22.42,57.2,87,75,16.11
89,Moron,AR,2020-11-03 00:24:47,-34.65,-58.62,66.99,50,10,4.0
90,Manavalakurichi,IN,2020-11-03 00:27:40,8.13,77.3,80.6,88,20,2.24
91,Busselton,AU,2020-11-03 00:26:44,-33.65,115.33,57.99,95,21,9.64
92,Mar Del Plata,AR,2020-11-03 00:24:08,-38.0,-57.56,60.01,87,0,9.17
93,Clyde River,CA,2020-11-03 00:27:41,70.47,-68.59,15.8,92,90,13.87
94,Iberia,US,2020-11-03 00:26:06,29.95,-91.75,59.0,47,1,6.93
95,Elizabeth City,US,2020-11-03 00:27:41,36.29,-76.25,43.0,60,1,6.93
96,Ancud,CL,2020-11-03 00:27:41,-41.87,-73.82,54.0,87,90,5.82
97,Ribeira Grande,PT,2020-11-03 00:24:32,38.52,-28.7,62.94,66,62,16.06
98,Atuona,PF,2020-11-03 00:27:41,-9.8,-139.03,77.92,72,43,18.19
99,Leeton,AU,2020-11-03 00:27:42,-34.57,146.4,75.2,44,77,6.93
100,Zhigansk,RU,2020-11-03 00:25:33,66.77,123.37,0.28,90,100,19.66
101,Kaitangata,NZ,2020-11-03 00:27:43,-46.28,169.85,59.0,64,45,4.0
102,Boende,CD,2020-11-03 00:27:43,-0.22,20.87,71.55,97,100,0.38
103,Hambantota,LK,2020-11-03 00:25:47,6.12,81.12,77.0,100,90,3.8
104,Hofn,IS,2020-11-03 00:24:31,64.25,-15.21,42.58,62,100,13.47
105,Riachao Das Neves,BR,2020-11-03 00:27:43,-11.75,-44.91,71.91,87,100,1.5
106,Gigmoto,PH,2020-11-03 00:27:44,13.78,124.39,82.9,74,100,3.2
107,Adrar,MR,2020-11-03 00:25:17,20.5,-10.07,80.22,17,100,9.71
108,Buchanan,LR,2020-11-03 00:27:44,5.88,-10.05,77.97,87,60,5.75
109,Palauig,PH,2020-11-03 00:27:44,15.44,119.9,82.83,69,89,4.07
110,Bandarbeyla,SO,2020-11-03 00:24:43,9.49,50.81,77.41,80,50,18.52
111,Saint George,US,2020-11-03 00:26:30,37.1,-113.58,73.4,20,1,12.75
112,Otane,NZ,2020-11-03 00:27:44,-39.88,176.63,63.0,81,100,8.01
113,Port Alfred,ZA,2020-11-03 00:24:06,-33.59,26.89,66.33,86,24,20.11
114,Raudeberg,NO,2020-11-03 00:24:19,61.99,5.14,45.0,92,99,20.24
115,Flagstaff,US,2020-11-03 00:27:45,35.2,-111.65,63.0,25,1,4.7
116,Champawat,IN,2020-11-03 00:27:45,29.33,80.1,47.82,98,0,4.83
117,Husavik,IS,2020-11-03 00:27:45,66.04,-17.34,37.4,93,90,16.11
118,Tamandare,BR,2020-11-03 00:27:45,-8.76,-35.1,77.74,80,0,10.51
