City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
72,Nemuro,JP,43.32,145.57,49.78,67,19,21.65,few clouds
73,Adrar,MR,20.5,-10.07,86.97,15,9,8.41,clear sky
74,Sikonge,TZ,-5.63,32.77,78.8,34,20,11.41,few clouds
75,Hithadhoo,MV,-0.6,73.08,82.72,73,100,2.06,moderate rain
76,Busselton,AU,-33.65,115.33,55.99,79,0,3.0,clear sky
77,Ancud,CL,-41.87,-73.82,59.0,58,75,11.41,broken clouds
78,Krasnovishersk,RU,60.41,57.08,37.96,93,100,8.63,overcast clouds
79,Lebu,CL,-37.62,-73.65,55.47,69,0,21.07,clear sky
80,Burnie,AU,-41.07,145.92,55.0,75,27,8.01,scattered clouds
81,Ribeira Grande,PT,38.52,-28.7,59.0,77,40,8.05,scattered clouds
82,Gojra,PK,31.15,72.69,64.53,25,0,4.56,clear sky
83,Hofn,IS,64.25,-15.21,46.76,70,25,45.21,scattered clouds
84,Awjilah,LY,29.11,21.29,65.19,64,1,12.44,clear sky
85,Petropavl,KZ,54.88,69.16,33.33,94,91,7.49,overcast clouds
86,Portland,US,45.52,-122.68,54.0,87,90,5.82,moderate rain
87,Carnarvon,AU,-24.87,113.63,69.8,100,90,14.99,overcast clouds
88,Sao Filipe,CV,14.9,-24.5,77.36,75,19,2.39,few clouds
89,Nador,MA,35.17,-2.93,69.8,77,97,4.7,overcast clouds
90,Kasongo-Lunda,CD,-6.47,16.82,73.78,89,100,0.92,light rain
91,College,US,64.86,-147.8,-0.99,69,75,4.56,broken clouds
92,Tromso,NO,69.65,18.96,42.8,73,75,18.34,broken clouds
93,Freeport,US,40.66,-73.58,66.0,77,1,10.29,clear sky
94,Bengkulu,ID,-3.8,102.27,76.24,87,95,4.0,overcast clouds
95,Macklin,CA,52.33,-109.93,44.6,70,78,13.87,broken clouds
96,Esperance,AU,-33.87,121.9,48.2,93,95,6.93,overcast clouds
97,Havre-Saint-Pierre,CA,50.23,-63.6,37.4,100,90,8.05,overcast clouds
98,Nikolskoye,RU,59.7,30.79,46.99,81,40,17.9,scattered clouds
99,Vega De Alatorre,MX,20.03,-96.63,79.57,64,74,17.4,broken clouds
100,Georgetown,MY,5.41,100.34,78.8,88,20,3.76,thunderstorm
101,Aklavik,CA,68.22,-135.01,-5.8,76,20,6.93,few clouds
102,Kavaratti,IN,10.57,72.64,83.19,71,88,4.68,overcast clouds
103,San Antonio,US,29.42,-98.49,80.6,42,20,3.36,few clouds
104,Carutapera,BR,-1.2,-46.02,83.61,68,100,10.63,overcast clouds
105,Hualmay,PE,-11.1,-77.61,68.11,65,15,10.47,few clouds
106,Upernavik,GL,72.79,-56.15,6.93,91,56,6.24,broken clouds
107,Kodiak,US,57.79,-152.41,30.2,54,1,4.7,clear sky
108,Sorland,NO,67.67,12.69,42.8,87,75,32.21,broken clouds
109,Orsha,BY,54.52,30.41,44.51,83,100,17.49,overcast clouds
110,Machali,CL,-34.18,-70.67,77.0,31,0,8.14,clear sky
111,Constitucion,CL,-35.33,-72.42,62.65,51,0,19.6,clear sky
112,Hirara,JP,24.8,125.28,79.27,90,96,16.4,overcast clouds
113,Inhambane,MZ,-23.86,35.38,77.0,94,75,4.7,shower rain
114,Zarechnyy,RU,53.2,45.19,45.0,58,100,6.29,overcast clouds
115,Abonnema,NG,4.71,6.79,80.6,88,40,3.36,scattered clouds
116,Dera Ghazi Khan,PK,30.06,70.63,64.44,26,0,4.21,clear sky
117,Touros,BR,-5.2,-35.46,84.2,66,40,17.22,scattered clouds
118,Talnakh,RU,69.49,88.4,-2.2,84,0,4.47,clear sky
119,Santa Catalina,PH,9.33,122.86,77.22,80,20,3.85,few clouds
120,Guasdualito,VE,7.24,-70.73,83.82,69,14,3.62,light rain
121,Hailar,CN,49.2,119.7,21.79,97,76,2.13,broken clouds
122,Chase,CA,50.82,-119.69,55.4,35,100,5.82,overcast clouds
123,Brae,GB,60.4,-1.35,51.8,87,75,26.4,broken clouds
124,Beisfjord,NO,68.38,17.6,42.8,75,75,27.51,broken clouds
125,Vytegra,RU,61.01,36.45,43.74,80,100,16.75,light rain
